,Unnamed: 0,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Latitude,Longitude
2795,2795,22500000,1350,Kurla West,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0686026,72.876583
2796,2796,8200000,725,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2797,2797,8100000,720,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2798,2798,8298999,700,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2799,2799,7598999,750,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2800,2800,11000000,900,Kurla West,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19.0686026,72.876583
2801,2801,7998999,690,Kurla West,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19.0686026,72.876583
2802,2802,7798999,700,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2803,2803,7898999,680,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2804,2804,11500000,1100,Kurla West,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0686026,72.876583
2805,2805,7998999,700,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2806,2806,18500000,1676,Kurla,3,0,1,1,1,0,1,1,1,1,1,1,0,1,1,19.0629954,72.8847136
2807,2807,11000000,750,Kurla East,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0628944,72.8825604
2808,2808,9000000,750,Kurla,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0629954,72.8847136
2809,2809,4900000,239,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,19.0263007,73.0120218
2810,2810,5700000,283,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,19.0263007,73.0120218
2811,2811,6351000,352,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,19.0263007,73.0120218
2812,2812,6900000,440,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,19.0263007,73.0120218
2813,2813,24500000,1350,Jogeshwari West,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,19.136394,72.8373817
2814,2814,22500000,1250,Borivali West,3,0,1,1,0,0,0,1,0,1,0,0,1,0,0,19.2294561,72.8479905
2815,2815,40000000,1700,Borivali West,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,19.2294561,72.8479905
2816,2816,8400000,515,Borivali West,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.2294561,72.8479905
2817,2817,9000000,570,Malad East,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,19.1860219,72.8563181
2818,2818,13500000,820,Malad East,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,19.1860219,72.8563181
2819,2819,4800000,855,Kalyan East,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,19.2156856,73.092894
2820,2820,3300000,600,Kalyan East,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,19.2156856,73.092894
2821,2821,4500000,880,Kalyan East,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2156856,73.092894
2822,2822,4500000,600,Dombivali,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,19.1930221,73.10434312662221
2823,2823,9800000,580,Kandivali West,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,19.2084002,72.8422235
2824,2824,2000000,425,Malad East,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,19.1860219,72.8563181
2825,2825,44500000,1950,Sion,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19.0465213,72.8632834
2826,2826,2350000,425,Bandra East,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,19.0616565,72.8498111
2827,2827,7598999,400,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19.0263007,73.0120218
2828,2828,9800000,599,Thane West,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,19.0263007,73.0120218
2829,2829,27400000,1552,Manpada,4,1,1,1,1,0,1,1,1,1,1,0,0,0,1,19.2216015,72.9826741
2830,2830,14600000,958,Thane West,3,1,1,1,0,0,1,1,1,1,1,1,0,1,1,19.0263007,73.0120218
2831,2831,18500000,1174,Thane West,3,1,1,1,0,0,1,1,1,1,1,1,0,1,1,19.0263007,73.0120218
2832,2832,8000000,419,Thane West,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,19.0263007,73.0120218
2833,2833,12800000,705,Thane West,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,19.0263007,73.0120218
2834,2834,13500000,931,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19.0263007,73.0120218
2835,2835,4200000,350,Santacruz East,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,19.076684,72.8511691
2836,2836,35000000,1700,Powai,3,0,1,1,1,0,1,1,1,1,0,1,0,1,1,19.1187195,72.9073476
2837,2837,15200000,680,Borivali West,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0,19.2294561,72.8479905
2838,2838,14500000,950,Kandivali West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,0,19.2084002,72.8422235
2839,2839,26000000,1280,Malad West,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,19.1840129,72.8412155
2840,2840,18000000,704,Goregaon West,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,19.1633281,72.8411995
2841,2841,3700000,300,Andheri East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1158835,72.854202
2842,2842,3400000,300,Andheri East,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.1158835,72.854202
2843,2843,7500000,495,Malad West,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.1840129,72.8412155
2844,2844,6850000,1050,Ulwe,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,18.97686135,73.0201311109118
2845,2845,4000000,650,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.97686135,73.0201311109118
2846,2846,3000000,550,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.97686135,73.0201311109118
2847,2847,4550000,650,Ulwe,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,18.97686135,73.0201311109118
2848,2848,3990000,650,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.97686135,73.0201311109118
2849,2849,4000000,650,Ulwe,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,18.97686135,73.0201311109118
2850,2850,4225000,650,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.97686135,73.0201311109118
2851,2851,4140999,650,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.97686135,73.0201311109118
2852,2852,4000000,650,Ulwe,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,18.97686135,73.0201311109118
2853,2853,6500000,525,Malad West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1840129,72.8412155
2854,2854,16100000,675,Borivali West,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,19.2294561,72.8479905
2855,2855,9800000,540,Mira Road East,2,1,1,1,0,0,0,1,1,1,0,1,1,1,1,19.2948873,72.8678432
2856,2856,7700000,1110,Kamothe,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19.0164338,73.0806552
2857,2857,27500000,1000,Prabhadevi,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,19.0148811,72.8279556
2858,2858,110000000,3000,Andheri West,4,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19.1172495,72.833968
2859,2859,7209999,900,Mira Road East,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,19.2948873,72.8678432
2860,2860,5637000,650,Mira Road East,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,19.2948873,72.8678432
2861,2861,13200000,1500,Mira Road East,3,1,0,1,0,0,0,1,1,1,0,0,1,0,0,19.2948873,72.8678432
2862,2862,9450000,1080,Mira Road East,2,1,0,1,0,0,0,1,1,1,0,0,1,0,0,19.2948873,72.8678432
2863,2863,5150000,720,Mira Road East,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,19.2948873,72.8678432
2864,2864,6500000,450,Kharodi,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.191684,72.8140978
2865,2865,27900000,1086,Wadala,3,1,1,1,0,0,0,1,1,1,1,1,0,1,1,19.0269192,72.8759337
2866,2866,18900000,925,Wadala,2,1,1,1,0,0,0,1,1,1,1,1,0,1,1,19.0269192,72.8759337
2867,2867,13899999,505,Wadala,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,19.0269192,72.8759337
2868,2868,31800000,1046,Ghatkopar West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19.0897194,72.9045972
2869,2869,46200000,1507,Ghatkopar West,4,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19.0897194,72.9045972
2870,2870,10800000,1260,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,19.0263007,73.0120218
2871,2871,10700000,1240,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,19.0263007,73.0120218
2872,2872,10600000,1230,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,19.0263007,73.0120218
2873,2873,16500000,646,Borivali West,2,1,1,1,0,0,1,1,1,1,1,0,0,1,1,19.2294561,72.8479905
2874,2874,27500000,1056,Borivali West,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,19.2294561,72.8479905
2875,2875,22000000,858,Borivali East,2,1,1,1,0,0,1,1,1,1,0,1,0,1,1,19.2267228,72.8619328
2876,2876,31300000,1043,Borivali East,3,1,1,1,0,0,1,1,1,1,0,1,0,1,1,19.2267228,72.8619328
2877,2877,8920000,749,Thane West,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,19.0263007,73.0120218
2878,2878,7320000,746,Thane West,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,19.0263007,73.0120218
2879,2879,13100000,1140,Thane West,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0263007,73.0120218
2880,2880,13100000,1140,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,19.0263007,73.0120218
2881,2881,21700000,707,Andheri West,2,1,1,1,0,0,1,1,1,1,0,0,0,0,1,19.1172495,72.833968
2882,2882,27799999,944,Andheri West,3,1,1,1,0,0,1,1,1,1,0,0,0,0,1,19.1172495,72.833968
2883,2883,13899999,614,Kandivali East,2,1,1,1,1,0,1,1,1,1,0,0,0,1,1,19.2103809,72.8640837
2884,2884,52100000,1104,Juhu,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,19.1070215,72.8275275
2885,2885,14300000,686,Ghatkopar West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19.0897194,72.9045972
2886,2886,24600000,1182,Ghatkopar West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19.0897194,72.9045972
2887,2887,34800000,750,Ville Parle West,2,1,1,1,0,0,1,1,1,1,1,0,0,0,1,19.1159409,72.8312863
2888,2888,36500000,1620,Wadala,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19.0269192,72.8759337
2889,2889,2150000,655,Badlapur East,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,19.153266350000003,73.24120847913576
2890,2890,2250000,655,Badlapur East,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,19.153266350000003,73.24120847913576
2891,2891,2400000,700,Badlapur West,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,19.2388841,73.1367485
2892,2892,3100000,920,Badlapur East,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.153266350000003,73.24120847913576
2893,2893,2399000,700,Badlapur East,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19.153266350000003,73.24120847913576
2894,2894,2000000,610,Vangani,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,19.08913,73.2928848
2895,2895,2190000,655,Badlapur East,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,19.153266350000003,73.24120847913576
2896,2896,3200000,820,Badlapur East,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,19.153266350000003,73.24120847913576
2899,2899,3100000,920,Badlapur East,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1,19.153266350000003,73.24120847913576
2900,2900,2650000,650,Badlapur West,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,19.2388841,73.1367485
2901,2901,9800000,1170,Mira Road East,2,1,1,1,0,0,1,1,1,1,1,0,1,1,1,19.2948873,72.8678432
2902,2902,8600000,1026,Mira Road East,2,1,1,1,0,0,1,1,1,1,1,0,1,1,1,19.2948873,72.8678432
2903,2903,11399999,1341,Mira Road East,3,1,1,1,0,0,1,1,1,1,1,0,1,1,1,19.2948873,72.8678432
2904,2904,5700000,710,Mira Road East,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,19.2948873,72.8678432
2905,2905,7800000,1010,Mira Road East,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,19.2948873,72.8678432
2906,2906,6700000,775,Mira Road East,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,19.2948873,72.8678432
2907,2907,5600000,693,Mira Road East,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19.2948873,72.8678432
2908,2908,7600000,972,Mira Road East,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19.2948873,72.8678432
